Unit_Id,Institution_name,foreign_2018,total_2018,foreign_2019,total_2019,foreign_2020,total_2020,intl_ratio_2018,intl_ratio_2019,intl_ratio_2020
216010,Shippensburg University of Pennsylvania,5,1357,8,1296,3,1219,0.0036845983787767134,0.0061728395061728392,0.0024610336341263331
218061,Francis Marion University,17,731,8,716,3,727,0.023255813953488372,0.0111731843575419,0.0041265474552957355
141237,Truett McConnell University,12,285,8,215,3,271,0.042105263157894736,0.037209302325581395,0.01107011070110701
409698,California State University-Monterey Bay,9,1000,10,1046,3,879,0.009,0.0095602294455066923,0.0034129692832764505
221768,The University of Tennessee-Martin,11,1143,11,1160,3,1110,0.0096237970253718278,0.009482758620689655,0.0027027027027027029
219259,Northern State University,6,339,11,342,3,341,0.017699115044247787,0.032163742690058478,0.0087976539589442824
226383,Lubbock Christian University,4,294,12,282,3,280,0.013605442176870748,0.0425531914893617,0.010714285714285714
237330,Concord University,21,430,16,372,3,383,0.048837209302325581,0.043010752688172046,0.007832898172323759
156295,Berea College,30,438,38,413,3,295,0.0684931506849315,0.092009685230024216,0.010169491525423728
409315,South Texas College,0,4641,0,0,4,3119,0.0,0.0,0.0012824623276691247
235316,Gonzaga University,2,1196,0,0,4,1052,0.0016722408026755853,0.0,0.0038022813688212928
238458,Carroll University,10,719,0,0,4,689,0.013908205841446454,0.0,0.0058055152394775036
164173,Stevenson University,4,604,0,0,4,672,0.0066225165562913907,0.0,0.0059523809523809521
459949,Texas A&M University-San Antonio,2,574,0,0,4,632,0.0034843205574912892,0.0,0.0063291139240506328
377564,University of Washington-Tacoma Campus,8,653,0,0,4,621,0.012251148545176111,0.0,0.00644122383252818
161457,University of New England,1,635,0,712,4,564,0.0015748031496062992,0.0,0.0070921985815602835
204185,University of Mount Union,9,625,0,0,4,550,0.0144,0.0,0.0072727272727272727
